OBJECTID,admin2Name,admin2Pcod,admin1Name,admin1Pcod,label
1,Agneby-Tiassa,CI1302,Lagunes,CI13,Agneby-Tiassa
2,Bafing,CI0502,Woroba,CI05,Bafing
3,Bagoue,CI0101,Savanes,CI01,Bagoue
4,Belier,CI0702,Lacs,CI07,Belier
5,Bere,CI0501,Woroba,CI05,Bere
6,Bounkani,CI0301,Zanzan,CI03,Bounkani
7,Cavally,CI0603,Montagnes,CI06,Cavally
8,District Autonome D'Abidjan,CI1401,District Autonome D'Abidjan,CI14,DA. &d'Abidjan
9,District Autonome De Yamoussoukro,CI1001,District Autonome De Yamoussoukro,CI10,DA. de &Yamoussoukro
10,Folon,CI0201,Denguele,CI02,Folon
11,Gbeke,CI0402,Valle Du Bandama,CI04,Gbeke
12,Gbokle,CI1203,Bas-Sassandra,CI12,Gbokle
13,Goh,CI1101,Goh-Djiboua,CI11,Goh
14,Gontougo,CI0302,Zanzan,CI03,Gontougo
15,Grands Ponts,CI1303,Lagunes,CI13,Grands-& Ponts
16,Guemon,CI0602,Montagnes,CI06,Guemon
17,Hambol,CI0401,Valle Du Bandama,CI04,Hambol
18,Haut-Sassandra,CI0801,Sassandra-Marahoue,CI08,Haut-&Sassandra
19,Iffou,CI0701,Lacs,CI07,Iffou
20,Indenie-Djuablin,CI0901,Comoe,CI09,Indenie-&Djuablin
21,Kabadougou,CI0202,Denguele,CI02,Kabadougou
22,Loh-Djiboua,CI1102,Goh-Djiboua,CI11,Loh-Djiboua
23,Marahoue,CI0802,Sassandra-Marahoue,CI08,Marahoue
24,Me,CI1301,Lagunes,CI13,Me
25,Nawa,CI1201,Bas-Sassandra,CI12,Nawa
26,Poro,CI0102,Savanes,CI01,Poro
27,San Pedro,CI1202,Bas-Sassandra,CI12,San-Pédro
28,Sud-Comoe,CI0902,Comoe,CI09,Sud-&Comoé
29,Tchologo,CI0103,Savanes,CI01,Tchologo
30,Tonkpi,CI0601,Montagnes,CI06,Tonkpi
31,Worodougou,CI0503,Woroba,CI05,Worodougou
32,N'Zi,CI0703,Lacs,CI07,N'Zi
33,Moronou,CI0704,Lacs,CI07,Moronou
