ORD,CODE,ADM_NAME,GEOLOC,LEVEL,FLD1,FLD2,FLD3,FLD4
1,R02,ABIDJAN 2,N/A,REGION,22821,0.44,357533,0.42
2,D76,ABOBO EST,YES,DISTRICT,22633,0.44,701637,0.21
3,D77,ABOBO OUEST,YES,DISTRICT,32057,0.31,352625,0.43
4,D78,ANYAMA,YES,DISTRICT,9603,1.04,81623,1.84
5,D79,COCODY BINGERVILLE,YES,DISTRICT,23631,0.42,614405,0.24
6,D80,KOUMASSI-PORT-BOUET-VRIDI,YES,DISTRICT,29709,0.34,490207,0.31
7,D81,MARCORY-TREICHVILLE,YES,DISTRICT,17629,0.57,202738,0.74
8,R01,ABIDJAN 1-GRANDS PONTS,N/A,REGION,20163,0.5,342766,0.44
9,D82,ADJAME-PLATEAU-ATTECOUBE,YES,DISTRICT,35138,0.28,737895,0.2
10,D26,DABOU,YES,DISTRICT,5680,1.76,51124,2.93
11,D38,GRAND-LAHOU,YES,DISTRICT,11135,0.9,155884,0.96
12,D43,JACQUEVILLE,YES,DISTRICT,3223,3.1,58008,2.59
13,D83,YOPOUGON-EST,YES,DISTRICT,41358,0.24,null,0
14,D84,YOPOUGON-OUEST-SONGON,YES,DISTRICT,27499,0.36,632476,0.24
15,R03,AGNEBY-TIASSA-ME,N/A,REGION,9196,1.09,119549,1.25
16,D05,ADZOPE,YES,DISTRICT,9204,1.09,202498,0.74
17,D06,AGBOVILLE,YES,DISTRICT,9034,1.11,316203,0.47
18,D08,AKOUPE,YES,DISTRICT,12773,0.78,102184,1.47
19,D09,ALEPE,YES,DISTRICT,6933,1.44,65859,2.28
20,D61,SIKENSI,YES,DISTRICT,8491,1.18,84908,1.77
21,D67,TIASSALE,YES,DISTRICT,9136,1.09,85265,1.76
22,R04,BELIER,N/A,REGION,7953,1.26,109065,1.38
23,D30,DIDIEVI,YES,DISTRICT,6805,1.47,102068,1.47
24,D68,TIEBISSOU,YES,DISTRICT,4676,2.14,107554,1.39
25,D71,TOUMODI,YES,DISTRICT,7310,1.37,56041,2.68
26,D73,YAMOUSSOUKRO,YES,DISTRICT,11020,0.91,192856,0.78
27,R05,BOUNKANI-GONTOUGO,N/A,REGION,5952,1.68,98808,1.52
28,D15,BONDOUKOU,YES,DISTRICT,7547,1.33,101881,1.47
29,D22,BOUNA,YES,DISTRICT,6549,1.53,121154,1.24
30,D52,NASSIAN,YES,DISTRICT,4846,2.06,48462,3.1
31,D65,TANDA,YES,DISTRICT,4458,2.24,96594,1.55
32,R06,CAVALLY-GUEMON,N/A,REGION,12066,0.83,213744,0.7
33,D10,BANGOLO,YES,DISTRICT,18593,0.54,353264,0.42
34,D13,BLOLEQUIN,YES,DISTRICT,12744,0.78,127443,1.18
35,D33,DUEKOUE,YES,DISTRICT,12949,0.77,226612,0.66
36,D40,GUIGLO,YES,DISTRICT,13759,0.73,288948,0.52
37,D46,KOUIBLY,YES,DISTRICT,8578,1.17,214442,0.7
38,D70,TOULEPLEU,YES,DISTRICT,4206,2.38,58890,2.55
39,R07,GBEKE,N/A,REGION,10238,0.98,266190,0.56
40,D20,BEOUMI,YES,DISTRICT,6247,1.6,162429,0.92
41,D17,BOUAKE NORD-EST,YES,DISTRICT,11168,0.9,null,0
42,D18,BOUAKE NORD-OUEST,YES,DISTRICT,15172,0.66,424821,0.35
43,D19,BOUAKE-SUD,YES,DISTRICT,14468,0.69,188081,0.8
44,D21,SAKASSOU,YES,DISTRICT,4978,2.01,99566,1.51
45,R08,GBOKLE-NAWA-SAN-PEDRO,N/A,REGION,11373,0.88,321689,0.47
46,D39,GUEYO,YES,DISTRICT,8647,1.16,86467,1.73
47,D58,SAN-PEDRO,YES,DISTRICT,26087,0.38,652175,0.23
48,D59,SASSANDRA,YES,DISTRICT,11462,0.87,154737,0.97
49,D63,SOUBRE,YES,DISTRICT,8864,1.13,500843,0.3
50,D64,TABOU,YES,DISTRICT,8783,1.14,202019,0.74
51,R09,GÔH,N/A,REGION,9172,1.09,327126,0.46
52,D36,GAGNOA,YES,DISTRICT,8326,1.2,337218,0.44
53,D56,OUME,YES,DISTRICT,11805,0.85,306942,0.49
54,R10,HAMBOL,N/A,REGION,10569,0.95,158535,0.95
55,D25,DABAKALA,YES,DISTRICT,9968,1,209338,0.72
56,D44,KATIOLA,YES,DISTRICT,9096,1.1,118250,1.27
57,D53,Niakaramandougou,YES,DISTRICT,13456,0.74,148018,1.01
58,R11,HAUT SASSANDRA,N/A,REGION,15402,0.65,369653,0.41
59,D27,DALOA,YES,DISTRICT,17696,0.57,362765,0.41
60,D42,ISSIA,YES,DISTRICT,12101,0.83,338819,0.44
61,D72,VAVOUA,YES,DISTRICT,15343,0.65,414263,0.36
62,R12,INDENIE DUABLIN,N/A,REGION,9647,1.04,202583,0.74
63,D01,ABENGOUROU,YES,DISTRICT,10415,0.96,364530,0.41
64,D07,AGNIBILEKROU,YES,DISTRICT,9119,1.1,182388,0.82
65,D11,BETTIE,YES,DISTRICT,7604,1.32,60832,2.47
66,R13,KABADOUGOU-BAFING-FOLON,N/A,REGION,5508,1.82,102442,1.46
67,D51,MINIGNAN,YES,DISTRICT,5518,1.81,104838,1.43
68,D54,ODIENNE,YES,DISTRICT,4870,2.05,102267,1.47
69,D69,TOUBA,YES,DISTRICT,6339,1.58,101419,1.48
70,R14,LÔH-DJIBOUA,N/A,REGION,8807,1.14,222374,0.67
71,D32,DIVO,YES,DISTRICT,9517,1.05,409242,0.37
72,D35,FRESCO,YES,DISTRICT,6542,1.53,104671,1.43
73,D41,GUITRY,YES,DISTRICT,12150,0.82,157950,0.95
74,D47,LAKOTA,YES,DISTRICT,7505,1.33,217634,0.69
75,R15,MARAHOUE,N/A,REGION,13155,0.76,311344,0.48
76,D16,BOUAFLE,YES,DISTRICT,12678,0.79,443740,0.34
77,D62,SINFRA,YES,DISTRICT,21484,0.47,257802,0.58
78,D75,ZUENOULA,YES,DISTRICT,9687,1.03,232491,0.65
79,R16,N'ZI-IFFOU,N/A,REGION,7655,1.31,128217,1.17
80,D14,BOCANDA,YES,DISTRICT,7998,1.25,175960,0.85
81,D24,BONGOUANOU,YES,DISTRICT,9605,1.04,131266,1.14
82,D29,DAOUKRO,YES,DISTRICT,6686,1.5,180513,0.83
83,D31,DIMBOKRO,YES,DISTRICT,5118,1.95,102363,1.47
84,D50,M'BAHIAKRO,YES,DISTRICT,7543,1.33,90512,1.66
85,D57,PRIKRO,YES,DISTRICT,6883,1.45,82592,1.82
86,R17,PORO-TCHOLOGO-BAGOUE,N/A,REGION,10387,0.96,204279,0.73
87,D23,BOUNDIALI,YES,DISTRICT,7676,1.3,97224,1.54
88,D34,FERKESSEDOUGOU,YES,DISTRICT,13407,0.75,134070,1.12
89,D45,KORHOGO,YES,DISTRICT,9455,1.06,869860,0.17
90,D55,OUANGOLODOUGOU,YES,DISTRICT,19615,0.51,137303,1.09
91,D66,TENGRELA,YES,DISTRICT,10326,0.97,134232,1.12
92,R18,SUD-COMOE,N/A,REGION,7321,1.37,66622,2.25
93,D03,ABOISSO,YES,DISTRICT,7254,1.38,79789,1.88
94,D04,ADIAKE,YES,DISTRICT,6726,1.49,80712,1.86
95,D37,GRAND-BASSAM,YES,DISTRICT,8071,1.24,46410,3.23
96,R19,TONKPI,N/A,REGION,9332,1.07,268287,0.56
97,D12,BIANKOUMA,YES,DISTRICT,7070,1.41,212095,0.71
98,D28,DANANE,YES,DISTRICT,13129,0.76,288835,0.52
99,D48,MAN,YES,DISTRICT,9264,1.08,361297,0.42
100,D74,ZOUAN-HOUNIEN,YES,DISTRICT,8788,1.14,210920,0.71
101,R20,WORODOUGOU-BERE,N/A,REGION,8782,1.14,237125,0.63
102,D49,MANKONO,YES,DISTRICT,9266,1.08,426233,0.35
103,D60,SEGUELA,YES,DISTRICT,8147,1.23,142571,1.05
104,P01,TOTAL CI,N/A,PAYS,10911,0.92,204759,0.73
